AES,Genotype ,Height (in.),Ear Angle (cm),Notes:
75,Mo060,65,,
75,Mo060,67,,
75,Mo060,61,,
75,Mo060,62,,
78,Mo061,68,,
78,Mo061,66,,
78,Mo061,70,,
78,Mo061,71,,
78,Mo061,70,,
78,Mo061,68,,
78,Mo061,65,,
78,Mo061,65,,
79,Mo063,58,,
79,Mo063,63,,
79,Mo063,77,,
79,Mo063,75,,
79,Mo063,65,,
79,Mo063,63,,
79,Mo063,64,,
79,Mo063,67,,
79,Mo063,66,,
79,Mo063,67,,
79,Mo063,62,,
79,Mo063,72,,
82,B73,72,,
82,B73,70,,
82,B73,59,,
82,B73,53,,
82,B73,46,,
82,B73,57,,
83,Mo067,N/A,,No plants
86,Mo074,71,,
86,Mo074,62,,
86,Mo074,66,,
86,Mo074,68,,
86,Mo074,68,,
86,Mo074,65,,
86,Mo074,66,,
86,Mo074,74,,
86,Mo074,73,,
86,Mo074,63,,
86,Mo074,68,,
86,Mo074,75,,
86,Mo074,75,,
87,Mo076,75,,
87,Mo076,69,,
87,Mo076,69,,
87,Mo076,77,,
87,Mo076,78,,
87,Mo076,77,,
87,Mo076,56,,
87,Mo076,79,,
87,Mo076,70,,
87,Mo076,79,,
90,Mo077,61,,
90,Mo077,67,,
90,Mo077,67,,
90,Mo077,43,,
90,Mo077,67,,
90,Mo077,65,,
90,Mo077,67,,
90,Mo077,73,,
90,Mo077,64,,
90,Mo077,74,,
91,Mo079,74,,
91,Mo079,64,,
91,Mo079,75,,
91,Mo079,74,,
91,Mo079,75,,
91,Mo079,73,,
91,Mo079,74,,
91,Mo079,52,,
94,Mo262,62,,
94,Mo262,65,,
94,Mo262,61,,
94,Mo262,67,,
94,Mo262,66,,
94,Mo262,67,,
94,Mo262,70,,
94,Mo262,63,,
94,Mo262,66,,
94,Mo262,61,,
94,Mo262,67,,
94,Mo262,67,,
94,Mo262,72,,
95,Mo264,49,,4 plants are male sterile
95,Mo264,47,,4 plants are male sterile
95,Mo264,45,,4 plants are male sterile
95,Mo264,49,,4 plants are male sterile
95,Mo264,48,,4 plants are male sterile
95,Mo264,40,,4 plants are male sterile
95,Mo264,45,,4 plants are male sterile
95,Mo264,50,,4 plants are male sterile
98,Mo265,64,,
98,Mo265,69,,
98,Mo265,64,,
98,Mo265,65,,
98,Mo265,59,,
98,Mo265,65,,
98,Mo265,65,,
98,Mo265,62,,
98,Mo265,65,,
98,Mo265,68,,
99,Mo266,76,,
99,Mo266,65,,
99,Mo266,68,,
99,Mo266,69,,
99,Mo266,61,,
99,Mo266,66,,
99,Mo266,63,,
99,Mo266,70,,
99,Mo266,67,,
99,Mo266,66,,
99,Mo266,68,,
99,Mo266,60,,
102,Mo267,48,,
102,Mo267,50,,
102,Mo267,51,,
102,Mo267,56,,
102,Mo267,50,,
102,Mo267,52,,
102,Mo267,52,,
102,Mo267,51,,
102,Mo267,58,,
102,Mo267,47,,
102,Mo267,58,,
102,Mo267,52,,
103,Mo269,58,,
103,Mo269,64,,
103,Mo269,58,,
103,Mo269,61,,
103,Mo269,60,,
103,Mo269,57,,
103,Mo269,57,,
103,Mo269,57,,
103,Mo269,53,,
103,Mo269,58,,
106,Mo272,63,,
106,Mo272,61,,
106,Mo272,65,,
106,Mo272,60,,
106,Mo272,65,,
106,Mo272,63,,
106,Mo272,61,,
106,Mo272,63,,
106,Mo272,66,,
107,Mo275,59,,
107,Mo275,66,,
107,Mo275,59,,
110,Mo276,61,,
110,Mo276,68,,
110,Mo276,67,,
110,Mo276,67,,
110,Mo276,67,,
110,Mo276,66,,
110,Mo276,67,,
110,Mo276,67,,
110,Mo276,64,,
110,Mo276,66,,
110,Mo276,60,,
110,Mo276,64,,
111,Mo281,81,,
111,Mo281,98,,
111,Mo281,95,,
111,Mo281,73,,
111,Mo281,83,,
111,Mo281,82,,
111,Mo281,90,,
111,Mo281,81,,
111,Mo281,80,,
111,Mo281,75,,
111,Mo281,81,,
111,Mo281,80,,
111,Mo281,84,,
111,Mo281,83,,
111,Mo281,92,,
114,Mo284,70,,
114,Mo284,80,,
114,Mo284,79,,
114,Mo284,81,,
114,Mo284,81,,
114,Mo284,76,,
114,Mo284,80,,
114,Mo284,78,,
114,Mo284,78,,
114,Mo284,74,,
114,Mo284,82,,
114,Mo284,80,,
114,Mo284,77,,
115,Mo287,82,,
115,Mo287,79,,
115,Mo287,85,,
115,Mo287,79,,
115,Mo287,79,,
115,Mo287,77,,
115,Mo287,82,,
115,Mo287,82,,
115,Mo287,81,,
115,Mo287,82,,
115,Mo287,81,,
115,Mo287,81,,
115,Mo287,81,,
115,Mo287,85,,
118,Mo288,57,,
118,Mo288,68,,
118,Mo288,66,,
118,Mo288,60,,
118,Mo288,65,,
118,Mo288,58,,
118,Mo288,61,,
118,Mo288,66,,
118,Mo288,63,,
118,Mo288,67,,
118,Mo288,61,,
119,Mo296,53,,
119,Mo296,67,,
119,Mo296,52,,
119,Mo296,72,,
119,Mo296,69,,
119,Mo296,70,,
119,Mo296,65,,
119,Mo296,67,,
119,Mo296,69,,
122,Mo297,62,,
122,Mo297,64,,
122,Mo297,64,,
122,Mo297,61,,
122,Mo297,60,,
122,Mo297,58,,
122,Mo297,64,,
122,Mo297,60,,
122,Mo297,62,,
122,Mo297,57,,
122,Mo297,64,,
122,Mo297,52,,
123,Mo298,54,,
123,Mo298,62,,
123,Mo298,59,,
123,Mo298,64,,
123,Mo298,60,,
123,Mo298,60,,
123,Mo298,46,,
123,Mo298,63,,
123,Mo298,54,,
123,Mo298,58,,
123,Mo298,61,,
123,Mo298,56,,
126,Mo309,72,,
126,Mo309,72,,
126,Mo309,66,,
126,Mo309,71,,
126,Mo309,72,,
126,Mo309,77,,
126,Mo309,75,,
126,Mo309,75,,
126,Mo309,69,,
126,Mo309,73,,
126,Mo309,70,,
126,Mo309,70,,
126,Mo309,72,,
127,Mo310,N/A,,No plants
130,Mo311,53,,
130,Mo311,61,,
130,Mo311,59,,
130,Mo311,57,,
130,Mo311,57,,
130,Mo311,63,,
130,Mo311,59,,
130,Mo311,61,,
130,Mo311,61,,
130,Mo311,64,,
130,Mo311,59,,
131,Mo315,73,,
131,Mo315,70,,
131,Mo315,74,,
131,Mo315,69,,
131,Mo315,70,,
131,Mo315,64,,
131,Mo315,63,,
131,Mo315,66,,
131,Mo315,64,,
134,Mo317,60,,Pale flecked plants
134,Mo317,65,,Pale flecked plants
134,Mo317,55,,Pale flecked plants
134,Mo317,49,,Pale flecked plants
134,Mo317,65,,Pale flecked plants
134,Mo317,55,,Pale flecked plants
134,Mo317,57,,Pale flecked plants
134,Mo317,56,,Pale flecked plants
134,Mo317,51,,Pale flecked plants
134,Mo317,47,,Pale flecked plants
134,Mo317,49,,Pale flecked plants
134,Mo317,55,,Pale flecked plants
134,Mo317,64,,Pale flecked plants
134,Mo317,42,,Pale flecked plants
135,Mo321,63,,
135,Mo321,59,,
135,Mo321,53,,
135,Mo321,49,,
135,Mo321,61,,
135,Mo321,55,,
135,Mo321,58,,
135,Mo321,59,,
135,Mo321,58,,
135,Mo321,54,,
135,Mo321,49,,
135,Mo321,52,,
138,Mo322,73,,
138,Mo322,80,,
138,Mo322,61,,
138,Mo322,71,,
138,Mo322,74,,
138,Mo322,78,,
139,Mo323,75,,
139,Mo323,73,,
139,Mo323,67,,
139,Mo323,80,,
139,Mo323,78,,
139,Mo323,76,,
139,Mo323,82,,
139,Mo323,80,,
139,Mo323,79,,
139,Mo323,73,,
139,Mo323,78,,
139,Mo323,81,,
142,Mo325,78,,
142,Mo325,60,,
142,Mo325,80,,
142,Mo325,86,,
142,Mo325,81,,
142,Mo325,82,,
142,Mo325,84,,
143,Mo326,61,,
143,Mo326,68,,
143,Mo326,64,,
143,Mo326,60,,
143,Mo326,59,,
143,Mo326,58,,
143,Mo326,69,,
143,Mo326,58,,
143,Mo326,58,,
143,Mo326,54,,
143,Mo326,62,,
143,Mo326,67,,
143,Mo326,72,,
146,Mo328,55,,
146,Mo328,74,,
146,Mo328,68,,
146,Mo328,67,,
146,Mo328,76,,
146,Mo328,66,,
146,Mo328,48,,
146,Mo328,65,,
146,Mo328,63,,
146,Mo328,77,,
146,Mo328,73,,
146,Mo328,57,,
146,Mo328,59,,
147,Mo337,67,,Diseased leaves
147,Mo337,65,,Diseased leaves
147,Mo337,77,,Diseased leaves
147,Mo337,86,,Diseased leaves
147,Mo337,72,,Diseased leaves
147,Mo337,63,,Diseased leaves
147,Mo337,69,,Diseased leaves
147,Mo337,77,,Diseased leaves
147,Mo337,75,,Diseased leaves
150,Mo341,N/A,N/A,No plants
151,Mo344,72,,
151,Mo344,52,,
151,Mo344,66,,
151,Mo344,79,,
151,Mo344,60,,
