"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"233","811",20330,28780,0.809318356164671,0.941203281994385,"aug",0,1,2333.56887154453,22663.5688715445,6116.43112845546
"234","812",19640,24940,0.370856211005943,0.0766278317616118,"aug",0,1,1981.95259884455,21621.9525988446,3318.04740115545
"235","821",19060,26790,0.00229382811889304,0.493155066899796,"aug",0,1,1978.08535057143,21038.0853505714,5751.91464942857
"236","822",18960,27550,-0.0612514103099071,0.6642689580917,"aug",0,1,1993.54012441328,20953.5401244133,6596.45987558672
"237","823",19910,24430,0.542428354763706,-0.0381985952224288,"aug",0,1,1997.74888690191,21907.7488869019,2522.25111309809
"238","824",18750,25820,-0.194696411010391,0.274759705773289,"aug",0,1,1901.65706686562,20651.6570668656,5168.34293313438
"239","833",18610,25550,-0.283659744810713,0.213969244428797,"aug",0,1,1866.93656266168,20476.9365626617,5073.06343733831
"240","834",19840,25270,0.497946687863545,0.15092728451599,"aug",0,1,2019.97225910665,21859.9722591066,3410.02774089335
"241","835",19810,27570,0.478883116334904,0.668771955228329,"aug",0,1,2119.22675947245,21929.2267594725,5640.77324052755
"242","836",19120,26510,0.0404209711761754,0.430113106986991,"aug",0,1,1975.17971902916,21095.1797190292,5414.82028097085
"243","845",19180,26260,0.0785481142334554,0.373825642779128,"aug",0,1,1973.37350371399,21153.373503714,5106.62649628601
"244","846",18270,26420,-0.499713555468638,0.40984961987216,"aug",0,1,1854.66901455811,20124.6690145581,6295.33098544189
"245","847",17280,26910,-1.12881141591377,0.520173049719571,"aug",0,1,1645.14464845019,18925.1446484502,7984.85535154981
"246","848",18630,26620,-0.270950697124953,0.45487959123845,"aug",0,1,1919.20296513606,20549.2029651361,6070.79703486394
"247","857",19270,25880,0.135738828819377,0.288268697183176,"aug",0,1,1970.53286055673,21240.5328605567,4639.46713944327
"248","858",18700,26010,-0.226469030224792,0.317538178571265,"aug",0,1,1902.8893410527,20602.8893410527,5407.1106589473
"249","859",20110,28130,0.669518831621309,0.794855875053941,"aug",0,1,2220.90600513574,22330.9060051357,5799.09399486426
"250","860",20070,28480,0.644100736249789,0.87365832494495,"aug",0,1,2236.79520036057,22306.7952003606,6173.20479963943
"251","869",19870,27760,0.517010259392186,0.711550428026305,"aug",0,1,2141.90171543363,22011.9017154336,5748.09828456637
"252","870",18680,28360,-0.239178077910552,0.846640342125175,"aug",0,1,1990.11295965068,20670.1129596507,7689.88704034932
"253","871",19350,27180,0.186575019562419,0.580963511064063,"aug",0,1,2028.22518925071,21378.2251892507,5801.77481074929
"254","872",19550,28770,0.313665496420021,0.93895178342607,"aug",0,1,2137.10481708466,21687.1048170847,7082.89518291534
"255","881",21210,28970,1.36851645433813,0.98398175479236,"aug",0,1,2617.19240457744,23827.1924045774,5142.80759542256
"256","882",22140,31090,1.95948717172598,1.46129945127504,"aug",0,1,3226.95859340601,25366.958593406,5723.04140659398
"257","883",22680,30760,2.30263145924151,1.38699999852066,"aug",0,1,3381.62727344791,26061.6272734479,4698.37272655209
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","89",19100,26350,0.0277119234904153,0.394089129893958,"aug",0,1,1967.08346289325,21067.0834628932,5282.91653710675
"260","893",18880,27960,-0.112087601052949,0.756580399392595,"aug",0,1,1998.970828672,20878.970828672,7081.02917132801
"261","894",18050,27120,-0.639513080012,0.567454519654176,"aug",0,1,1854.09227237334,19904.0922723733,7215.90772762666
"262","895",19270,27680,0.135738828819377,0.693538439479788,"aug",0,1,2037.44672364472,21307.4467236447,6372.55327635528
"263","896",19790,28800,0.466174068649144,0.945706279131014,"aug",0,1,2191.10896442693,21981.1089644269,6818.89103557307
"264","9",19970,26080,0.580555497820986,0.333298668549466,"aug",0,1,2072.96491678507,22042.9649167851,4037.03508321493
"265","90",18910,25780,-0.0930240295243082,0.265753711500031,"aug",0,1,1922.03219904378,20832.0321990438,4947.96780095622
"266","905",19670,26810,0.389919782534584,0.497658064036425,"aug",0,1,2058.28985949175,21728.2898594917,5081.71014050825
"267","906",20210,27890,0.733064070050111,0.740819909414393,"aug",0,1,2228.51719402411,22438.5171940241,5451.48280597589
"268","907",20510,28500,0.923699785336516,0.878161322081579,"aug",0,1,2361.44545085152,22871.4454508515,5628.55454914848
"269","908",19410,26130,0.224702162619699,0.344556161391038,"aug",0,1,1996.4730120468,21406.4730120468,4723.5269879532
"270","91",19850,23880,0.504301211706426,-0.162031016479727,"aug",0,1,1969.79067511134,21819.7906751113,2060.20932488866
"271","917",18110,26860,-0.60138593695472,0.508915556877998,"aug",0,1,1850.38990708383,19960.3899070838,6899.61009291617
"272","918",19210,28010,0.0976116857620966,0.767837892234168,"aug",0,1,2042.79074147227,21252.7907414723,6757.20925852773
"273","919",19380,27490,0.205638591091058,0.650759966681812,"aug",0,1,2044.86289677074,21424.8628967707,6065.13710322926
"274","92",19500,24600,0.28189287720562,7.68804389183066e-05,"aug",0,1,1952.06386263596,21452.063862636,3147.93613736403
"275","920",18520,26760,-0.340850459396634,0.486400571194853,"aug",0,1,1910.19065047104,20430.190650471,6329.80934952896
"276","929",18740,26790,-0.201050934853272,0.493155066899796,"aug",0,1,1939.95852544113,20679.9585254411,6110.04147455887
"277","930",20630,27750,0.999954071451076,0.70929892945799,"aug",0,1,2330.92990742471,22960.9299074247,4789.07009257529
