"","plateID","reaction_type","unique_sampleID_number","starting_quantity","cpD1","Cycle_number","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"23","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","10",8.3,"E20","3396.89","3361.53","3354.13","3353.53","3352.39","3352.42","3350.27","3352.54","3350.9","3345.98","3347.31","3347.15","3353.43","3360.41","3372.87","3389.55","3427.3","3480.82","3541.52","3619.66","3700.38","3777.22","3857.07","3922.92","3992.34","4055.03","4113.74","4165.63","4221.72","4265.37","4310.92","4346.58","4379.45","4415.4","4445.59","4467.91","4491.25","4515.43","4534.04","4552.8"
"24","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","10",8.05,"E21","3471.16","3439.24","3434.46","3435.46","3434.68","3432.19","3433.85","3430.58","3432.22","3431.59","3434.12","3433.83","3438.49","3445.8","3459.62","3485.55","3528.16","3586.76","3662.97","3753.42","3845.93","3939.18","4026.65","4106.07","4182.72","4261.05","4327.04","4384.22","4454.85","4504.13","4553.59","4599.96","4639","4676.72","4712.59","4742.77","4766.39","4796.4","4816.99","4833.51"
"25","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","10",8.36,"E22","3588.8","3550.13","3544.11","3542.23","3541.38","3539.85","3539.78","3531.78","3536.06","3537.22","3539.78","3543.02","3547.79","3564.24","3588.22","3630.81","3697.76","3783.21","3889.1","3988.62","4100.05","4222.13","4287.97","4387.09","4474.89","4550.97","4628.76","4693.91","4764.06","4823.01","4870.46","4917.26","4960.86","5002.55","5032.78","5064.61","5087.64","5117.73","5137.51","5153.17"
"26","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","10",8.07,"E23","3584.84","3550.63","3546.51","3543.19","3542.39","3541.97","3542.06","3540.95","3543.85","3537.83","3545.35","3540.16","3551.38","3564.74","3580.29","3611.56","3676.05","3760.86","3855.21","3961.16","4066.37","4170.8","4265.98","4355.08","4446.32","4525.23","4600.7","4668.57","4731.11","4791.6","4844.06","4887.29","4928.41","4963.34","5002.75","5032.46","5051.37","5085.79","5107.02","5125.81"
"27","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","10",8.01,"E24","3547.3","3528.44","3527.88","3527.03","3517.86","3522.26","3513.68","3516.58","3516.01","3519.72","3519","3520.99","3528.78","3538.81","3565.5","3615.48","3676.91","3767.32","3862.66","3973.63","4078.66","4180.62","4279.48","4376.39","4463.96","4546.11","4612.28","4683.71","4752.03","4802.99","4857.58","4907.02","4948.4","4984.24","5025.85","5049.43","5071.35","5109.71","5119.92","5144.15"
"28","2018_9_3_plate","test1","gblock+IRE_plus18IRE","5",9.5,"G16","3426.82","3395.08","3389.23","3387.48","3384.5","3381.27","3376.86","3375.87","3372.48","3374.83","3376.11","3370.38","3374.88","3380.32","3392.65","3407.13","3447.7","3498.54","3574.11","3666.41","3764.25","3853.83","3943.28","4022.84","4097.27","4171.85","4233.46","4291.76","4351.11","4399.37","4439.32","4480.07","4522.63","4559.66","4587.5","4610.92","4642.08","4654.66","4675.68","4688.03"
"29","2018_9_3_plate","test1","gblock+IRE_plus18IRE","5",9.88,"G17","3432","3400.95","3398.63","3392.72","3389.71","3388.25","3390.9","3383.31","3382.46","3386.71","3384","3381.36","3381.69","3386.6","3401.79","3420.84","3457.9","3514.06","3587.39","3681.77","3774.88","3871.97","3962.81","4042.57","4119.67","4191.58","4259.97","4324.07","4379.11","4427.75","4474.01","4515.95","4556.96","4589.1","4615.92","4641.76","4666.12","4688.94","4705.25","4719.19"
"30","2018_9_3_plate","test1","gblock+IRE_plus18IRE","5",8.69,"G18","3349.76","3314.41","3312.13","3308.54","3305.01","3306.26","3305.84","3300.3","3300.29","3301.12","3298.21","3303.86","3306.59","3315.21","3320.96","3342.93","3375.17","3426.33","3494.42","3577.86","3669.19","3753.72","3836.01","3906.94","3977.88","4045.99","4104.06","4161.9","4210.91","4258.54","4299.97","4331.54","4369.45","4397.84","4425.78","4453.18","4474.72","4490.85","4509.93","4522.02"
"31","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","5",9.74,"G19","3441.47","3415.19","3412.06","3409.44","3410.21","3401.8","3404.34","3398.26","3400.03","3398.61","3394.45","3395.27","3398.47","3405.34","3409.67","3415.82","3437.56","3471.69","3519.63","3586.86","3665.25","3751.14","3839.79","3920.37","4001.23","4071.34","4139.77","4207.48","4263.09","4325.12","4370.57","4419.99","4461.06","4501.4","4540.08","4566.26","4594.74","4623.56","4643.51","4665.63"
"32","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","5",9.61,"G20","3461.06","3415.33","3410.46","3407.41","3411.52","3408.27","3404.19","3402.06","3398.93","3398.75","3395.68","3397.11","3399.47","3404.54","3409.15","3421.1","3438.51","3475.54","3525.8","3596.59","3677.65","3761.15","3851.58","3933.65","4014.95","4087.62","4159.04","4225.34","4285.83","4341.02","4395.08","4444.59","4488.24","4530.35","4563.71","4600.88","4626.93","4655.05","4679.14","4698.9"
"33","2018_9_3_plate","all_products","gblock+IRE_plus18IRE","5",9.88,"G21","3494.29","3459.94","3454.1","3451.99","3449.76","3449.19","3448.09","3443.67","3442.42","3444.31","3445.04","3444.23","3443.51","3450.62","3454.69","3464.52","3488.91","3527.6","3579.47","3656.47","3747.76","3842.58","3939.97","4020.1","4113.86","4195.44","4275.15","4346.12","4413.06","4478.62","4530.15","4587.45","4630.47","4671.15","4711.55","4751.59","4777.25","4806.5","4831.47","4856.69"
"34","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","5",9.24,"G22","3518.46","3482.79","3482.76","3480.59","3475.34","3472.39","3471.12","3467.82","3469.54","3469.99","3468.76","3469.44","3470.89","3478.99","3490.12","3508.57","3544.99","3596.5","3683.27","3771.97","3875.69","3982.14","4076.14","4171.64","4263.16","4344.37","4426.95","4497.26","4562.6","4625.32","4673.2","4721.48","4769.57","4807.15","4839.9","4871.41","4903.13","4926.82","4944.7","4967.7"
"35","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","5",8.83,"G23","3534.37","3492.62","3492.7","3490.1","3490.19","3491.49","3494","3487.83","3488.16","3479.56","3481.5","3483.72","3485.22","3495.79","3501.99","3526.43","3562.87","3619.88","3700.45","3796.73","3901.29","4005.02","4100.4","4202.13","4292.09","4379.42","4456.51","4531.65","4600.96","4667.88","4718.06","4773.16","4818.71","4864.16","4897.36","4931.8","4963.69","4994.29","5012.61","5038.74"
"36","2018_9_3_plate","all_products","gblock_minusIRE_onlyExonnoIRE","5",8.59,"G24","3500.47","3479.24","3477.57","3474.83","3471.43","3471.46","3470.48","3465.13","3465.03","3467.72","3465.96","3468.16","3471.99","3478.11","3487.78","3509.93","3543.73","3602.07","3682.66","3778.33","3878.6","3978.73","4080.69","4175.72","4269.82","4350.5","4435.09","4509.4","4571.55","4636.56","4693.16","4751.36","4797.26","4836.16","4871.56","4909.35","4933.29","4962.47","4982.03","5005.36"
"37","2018_9_3_plate","test1","gblock+IRE_plus18IRE","1",9.83,"I18","3441.97","3394.92","3392.99","3394.55","3391.74","3391.17","3393.53","3391.15","3390.66","3384.19","3385.61","3390.03","3387.74","3388.52","3393.21","3394.02","3407.34","3423.31","3454.96","3503.44","3575.7","3664.08","3759.04","3855.06","3942.62","4026.82","4106.49","4187.5","4254.36","4320.94","4372.02","4425.29","4478.22","4521.84","4559.09","4598.18","4627.69","4652.87","4687.37","4704.64"
"38","2018_9_2_plate","all_products","20","NaN",1,"P1","3673.27","3655.09","3652.48","3652.32","3642.51","3646.68","3641.4","3645.5","3641.52","3638.85","3642.38","3639.42","3640.31","3641.77","3638.8","3640.44","3644.43","3642.39","3640.44","3638.93","3645.95","3639.38","3645.04","3643.58","3644.66","3642.35","3644.82","3641.38","3638.32","3645.58","3646.64","3651.57","3657.56","3676.57","3694.97","3735.4","3789.71","3874.51","3952.67","4040.88"
"39","2018_9_2_plate","all_products","NTC","NaN",1,"P21","3396.57","3372.19","3368.71","3364.42","3358.8","3357.54","3353.91","3346.71","3347.01","3340.77","3337.86","3337.95","3333.65","3336.5","3335.05","3336.92","3334.51","3334.86","3332.21","3333.61","3335.15","3331.78","3331.68","3333.31","3333.9","3328.89","3329.05","3331.44","3330.35","3332.74","3331.43","3329.98","3329.22","3331.68","3333.51","3330.93","3335.05","3331.94","3333.24","3337.92"
